,0
436,لیکن بعض بین الاقوامی معاملات ایسے ہوتے ہیں جہاں دوستی سازشوں میں تبدیل ہو جاتی ہے
437,آج بھارت سے مخالفت کر کے رسول کو حاصل کرنے کے لیے جارحانہ اقدامات کر رہا تھا افراد کی سوچ بتا رہی تھی کہ بھارتی انٹیلی جنس کی سرگرم
438,برائے مہربانی کر کے بیٹھی ہوئی ہے میں نے اسے تسلی تھی کہ جلدی چلو اسے ہماری مدد کی ضرورت ہے تو فوراً اس کے پاس پہنچ گئے
439,سانس روکنے کے سلسلے میں سونیا کی طرف کی مدد کرنے لگے اس مخلوق سے اٹھا کر لے جا رہے تھے معلوم ہوتا تھا وہ ابھی انٹیلی جنس کے لوگوں کو بے بس کر دیا گیا تھا
440,سنی اور اس بات کو ختم کرنے کا طریقہ تقریبا ایک جیسا تھا جب تک وہ لوگ گاڑی میں ڈال کر لے جانے لگے تو اس تیز رفتار گاڑی سے گھنٹیوں کی آواز سنائی دے رہی ہے
441,اس سے یہ تاثر ملتا تھا کہ فائر بریگیڈ کی گاڑی ہے کہیں آگ لگی ہوئی ہے اسی لیے تیزی سے آگے جا رہی ہے ہے ہے ہے
442,وہ تیس سال کی ہو گی مگر بال عمر سے پہلے سفید ہونے والے تھے آپ زدہ نہ ہوں جلدی آ کا مسئلہ حل ہوجائے گا
443,غور سے گزروں تو پھر بھرپور کی طرف چلو اس کی باتوں سے پتہ چل گیا کہ وہ ٹنڈو سے معاشرے کی طرف آٹھ میل دور بھول جا رہے ہیں میں آپ کے دماغ کو
444,رونے لگا اس کے آس پاس دوسرے مسلح جوان بھی بیٹھے ہوئے تھے وہ سب مقامی باشندے تھے خاص طور پر لگنے والی گولی تھے اور ان سب کا تعلق سپر ماسٹر
445,بندی کہاں ہے اور کس طرح حاصل کیا جاسکتا ہے اسے حاصل کرنے کے لئے ایک طرف معصومین کے آدمیوں نے عدلیہ کو اغوا کیا تھا ان کے فرشتے بھی نہیں جاتا
446,کتے کے افسانہ گڑیا کے پیچھے سونیا چوتھی ہوئی ہے اگر معلوم ہو جاتا تو شاید وہ پردہ ڈالنے کی جرات بھی نہ کرتے ہیں دوسری طرف سے برخاست کر کے آدمی
447,مندر کی سیڑھیوں پر آزماتی نے جس بچے کے ساتھ منطقہ مظاہرہ کیا تھا اس بچے کا تعلق اس سے بہت قریب ہو سکتا تھا واقعات و حالات یہ تمام
448,گڑیا ایک دوسرے سے ملتے وہ سفر ماسٹر کے آدمیوں نے یہی فیصلہ کیا کہ پہلی فرصت میں زرداری کو قبضے میں کیا جائے کے باہر پہنچ گئی
449,ٹکرائے گا کہ چند نامعلوم افراد نے اس کی کنپٹی پر پستول رکھ کر فائر بریگیڈ کی گاڑی اپنے لیے استعمال کی تھی اور کسی لڑکی کو اغوا کرکے گردے بولے گئے
450,اس طرح بھارتی فوجی اور جاسوس اور دوسری تنظیموں کے افراد اس بات کو تلاش کرنے نکلی گے تو وہ بھرپور کی طرف دھیان نہیں دیں گے
451,بربادی کروگی انہیں دھمکیاں دی گئیں اور میں نے ایسے ہی کیا تھا لہذا اس بات کو میری خیال خوانی کا علم نہیں تھا بلکہ یوں کہنا چاہیے کہ وہ میرے متعلق
452,پوری طرح نہیں جانتی تھی کہ میں کہاں ہوں ان حالات سے گزر رہا ہوں اگر اسے علم ہوتا تو وہ جاتی کو جانتی کیونکہ سجاد مسلسل فرقۃ تکات
453,اور سونی انڈیا کا سب سے زہریلا سانپ ہے دس سیکنڈ میں انسان کو ختم کرنے والا ڈاکٹر نے گڑھا کھودا اور خود ہی اس میں گر پڑا
454,انہیں یقین کے رسول کو نکال کی حدود میں کہیں چھپا کر رکھا گیا ہے دشمن نے اسے اہم باتیں کرنے کے بعد کہا تھوڑی دیر بعد ہوگی
455,اس کے ذریعے کہا تم کھڑے آتی ہوں اپنی بات کرتی ہوں پھر سے پہلے کوئی بات کرو چلی جاتی ہو کیا کہنا چاہتی ہو
456,انہوں نے رہائی د** دی ہے وہ دونوں رہا ہو چکے ہیں لیکن مر جانا اور با ابھی تک جیل میں ہے وہاں سے نکالنے کی کوشش میں مصروف ہیں
457,میں پھر آ گئی تھی میرے دماغ میں پہنچ گئی اس نے التجا آمیز لہجے میں کہا مجھے جانے کے لئے نہ کہنا تھا کہ ہم دونوں بے حد مشکور
458,انسان کو واپس اس کی جگہ میں بند کر دیتے ہیں پھر میں سائل کو کسی محفوظ جگہ میں پہنچائیں گے اور پولیس کو بھی اطلاع دینی ہے کہ یہاں کیا حال ہے
459,پہچانتے ہیں تم کوشش کرو وہ تمہیں پہچان لے گا میں نے کوشش کی ہے یہ بتاؤ تمہیں تو اپنا پارسل مل گیا ہے اور زیادہ
460,اپنے پاس رکھو گی یہ کیا کر رہے ہو میں نے اسے دودھ پلایا ہے اس کے لیے راتوں کو جاگتی رہی ہوں وہ بیمار ہوں تو میری
461,اس کا جذبہ دیکھ کر مجھے خوشی ہوئی میں نے کہا رہتی ہے تمہارے اندر ایک سچی عورت ہے ایک سچی ہے وہ اور سچی بیوی کا
462,عمر گئی تھی کیوں تم نے مار ڈالا تھا وہ رونے لگے اس کے قریب آئینے کے پاس کھڑے ہوئے میکپ میں نکاح میں آپ کیا کر رہی ہیں
463,کھائے وہ اس پوسٹ کو ایک ساتھ ابھر کر بولی میں بدترین حالات سے سمجھوتہ کر سکتی ہوں لیکن ان حالات سے سمجھوتہ کروں
464,جب تم سے ہمیشہ دور رہنا چاہتے ہیں کہ افراد میں یہ پہاڑ جیسی زندگی تمہارے بغیر کیسے گزرے گی صبر کے سوا کوئی
465,ہم اسے کب تک فرض کرتے رہیں گے اور جب ملے گی تو اس کے لئے کوئی اچھا سا نام تجویز کیا جائے گا میں نے سوچ لیا ہے میں نے جنم دیا ہے تو
466,اس کا نام پارسلی تیمور رکھا ہے ہم دوسرے بیٹے کا نام صرف علی تیمور رکھیں گے ایک ہمارا پرسوں کا دوسرا علی تیمور یا
467,میرے بچے پھر دشمنوں کے ہاتھ نہ لگ جائے یہ اطمینان رکھو ایسا نہیں ہوگا میں تمہیں یہاں سے نکالے جانے کی ہرممکن کوشش کر رہا ہوں
468,دیکھ رہی ہو سویا جیسے شاطر اور تمہارے ساتھ ہے پھر دل میں کسی سے کم نہیں ہے یہ دونوں کو اچھی طرح ڈھانپ کر رکھیں گے
469,اگر یہ کہے گی میں اس کی سوچ پڑھنے کی بات پر سختی سے رابطہ قائم کیا تم اس بات کو ہی مشورہ دوں جو سونیا سوچ رہی ہے
470,ملے گی اور زیادہ سے زیادہ کوئی جاننے کی کوشش کرتی رہے گی اس کے پاس پہنچ جاؤں گا
471,مرے بزرگوں بلوایا پہلے ان سے کہہ چکا تھا کہ وہ ایسے جوانوں کی اختیار کریں جو بہت ہی چاکوچوبند ہوں اور ہمیشہ چوکنا رہتے ہو اور
472,بابر حاضر دماغی سے کام لے سکتے ہو وہ ایسا جوانوں کے ساتھ آئے انساں تو جو سے باری باری گفتگو کی جانچ پرکھ تھا
473,پنجاب مدینے میں آپ کا علم بھی کام آتا رہا ہے ہم اس نوجوان کو اپنے ساتھ رکھیں گے منصوبہ طے ہونے کے بعد وہ سب یہ کہہ کر چلے گئے کہ آدھی رات کے بعد جاپان
474,پاک اختیار لے آئیں گے ان کی جاتی دو بزرگ خواتین ہاتھوں میں تیرے لیے آئیں میرے لئے کھانا لایا گیا تھا بھوکا تھا اور کھانے بیٹھ گیا
475,رائٹ مارا گیا اگلے دن ہم نے واپسی کے وقت مجھے بتایا کہ پہلے میں نے جیز اور بین کو غلط انداز میں لیا
476,جائے گا کیا اسے ختم کر دو گے یہی مناسب ہے میرے دو آدمی تمہارے ساتھ رہیں گے تاکہ اس کمزور کی لاش کو کہیں چھپا
477,اور کوئی اس تک نہ پہنچ سکے شاید مجھے آپ کے اور نوجوانوں کی ضرورت پیش آئے آپ کو یاد رکھیں ابھی میری پلانی کے متعلق کسی کو کوئی
478,پٹیاں کر دی گئی تھی میں ان کے ذریعے دوسرے شہروں کی دھاڑنے کی آوازیں سن رہا تھا مگر اگر ٹینشن تھی باہر گہری تاریکی چھائی ہوئی تھی
479,اور جنہوں نے مجھے اپنے دماغ میں محسوس کرتے ہیں کہاں جانوروں کے آزاد ہو جانے کے بعد ایسی دھمکی دی تھی کہ جنریٹر چلانے والا کوئی نہیں رہا اس لیے
480,پھر جب دیکھ لیا کہ باہر سے نہیں آ سکتا تھا تو پھر صحیح راستے پر اپنے آپ کو ڈال لیا اور روشندان جب دیکھیں اور یہ پتہ چلا کہ
481,کرنا بہت ہی مشکل ہے جس بنتی ہیں تو مالی بیوی سے کہو کہ ایک اپنا ہے تو اس کے پائوں سے رابطہ قائم کرکے سے اترنے سے روک دے رہی تھی
482,اگر ہیلی کاپٹر اپنی آدمیوں کا تھا تو وہ بستی کے قریبی اترتا شاید اندھیرے میں یہ صلاحیت کے باوجود اسے کوئی جنگلی جانور نظر نہ آتا
483,میں جاری ہو جا رہی ہوں میں علی دی کے پاس پہنچ گیا اس نے محسوس کیا کہ پھر پوچھا اتنی دیر تک کہاں رہتے تھے
484,کم از کم ایک منٹ کے لئے دعا کرو آپ کے حالات بتاتے کہا کیا ہو رہا ہے ہمیں کچھ ٹھیک نہیں ہے یہاں تو ہم بلیک شیڈو کے مہمان خاص پڑے ہوئے ہیں
485,ہوا ہے سمجھ میں نہیں آتا تھا یہ کیسے بھول سکتا ہے اگر اس کا وجود ہے تو تم اس کے دماغ میں کیوں نہیں کر سکتے
486,مسلم الجھنے کی ضرورت نہیں ہے اگر بلیک ڈوٹ پہلے یہ کہا ہے کہ آپ نے آدمی کو جیل کی طرف روانہ کرنے والا ہے تو ابھی مر جانے جس ہیلی کاپٹر کو دیکھا ہے
487,اس لیے بستی صاف طور سے نظر آ رہی تھیں بستیاں طرف چکر کاٹ کے وہ جگہ تھی جہاں وہ آزادی سے گھومتے دیکھا وہ بستی کے قریبی تھا پھر ایک روز دکھائیں
488,کیا یہ دیکھنے کے بعد وہ ان پیسوں کی طرف گیا جہاں جانوروں کو بند رکھا جاتا تھا اس نے دیکھا کہ تمام بنجر زمین سے اٹھ چکے ہیں اور سارے جانور آزاد
489,وہ پرواز کرتا ہوں اس مکان کے اوپر سے گزرا جس کے صحن میں مر جانا کھڑی تھی وہ کرنا چاہتا تھا لیکن آج رنگ ہے
490,کی طرف سے فائرنگ شروع ہوگئی میں نے وہ کر کے دماغ کی طرف چھلانگ لگائی میرا اندازہ درست نکلا کو ہیلی کاپٹر کی طرف مائل کر رہا تھا
491,کرو یونان کے مشرقی ساحل کی طرف تھا اس کے ارادہ تھا کہ صبح صادق کی روشنی میں ادھر آئے گا اور کسی محفوظ جگہ اہلکار کر مر جانا تک پہنچنے کی کوشش کرے گا
492,اسے یہ بھی خیال تھا کہ شاید مر جانا تک نہ پہنچ سکے اس پر جو فارغ ہوئی تھی یقین اور یوں وہ گھر کا کام تھا اسے معلوم نہیں تھا کہ معلومات
493,آسمان میں حرج کیا ہے وہ پرواز کرتے ہوئے قریبی بستی پر پہنچا اس کے چاروں طرف چکر کاٹتے ہوئے سرائیکی سونگ عطااللہ نظر ڈالنے لگا
494,نیچی پرواز کی صفائی کا سامنا نہیں کرنا پڑا اس کا خیال درست نکلا مولویوں کو اندر جانے والی بستی میں تھے اس لیے وہاں سے فارغ ہوئی
495,اس کی پریشانی یہ تھی کہ کسی طرح سے مر جانا سے رابطہ قائم ہو اور وہ افراد اور بیوی کے متعلق معلومات حاصل کریں تب میں نے اسے مخاطب کیا
496,وہ چونک کر بولا فرحت میں آپ کا انتظار کرتا رہے گیا مجبور ہو کر مجھے یہاں آنا پڑا آپ ناراض نہ ہوں میں ڈیوٹی پر ہوں
497,جلدی اٹھیں ڈاگ کارٹون اسٹیشن پہنچی اور پھر ریل کے ذریعے یہاں آئی آپ کو کیسے معلوم ہوا آپ کے لباس میں لگی مٹی اور ہاتھ میں پکڑ
498,فاٹا کہاں نظر آتا ہے ڈاکٹر بے حد خطرناک اور شیطان انسان تھا اس کے بارے میں سنا یقین ان کی
499,اور تم نے دیکھے ہیں وہ بلیک شروع سے ہی میں اس کے متعلق تفصیل سے بعد میں بتاؤں گا ایک گھنٹے بعد دوسری بستی کے قریب ہو کر سکتے ہو وہاں تو
500,فارغ نہیں ہوئی تھی اپولو مارا جا چکا ہے صرف انٹرنیٹ سے آئے لیکن اس جزیرے پر چھا جانے کے لئے بہت سوچ سمجھ کر استعمال کرنے ہوں گے
501,آتے ہو آپ کو حکم دیجیے میرے پاس ایک بھی نہیں ہوگی تمہارے پاس آدمی کتنے ہوں گے صرف بیس آدمی ہیں لیکن سب گوریلا فائٹر ہے
502,20 پورے جزیرے پر چھا جائیں گے ایک گھنٹے بعد اپنے ساتھ جوانوں کو لے کر گولہ بارود کا ذخیر لے کر پہنچ جاؤ اس بستی میں پھر سے اسپیکر کے ذریعے اعلان کرو
503,میننگ کی گئی تھی کہ سیٹی کی آواز سن کر واپس آجائے وہ شام کو روشن دان کے ذریعے دوسرے کمرے میں بھیجتا تھا جو رسی کے ذریعے نیچے اتر کر بستر تک
504,پچاس کی پلاننگ سمجھ گیا ہوں ایسا ہی کروں گا اس کے بعد تو مر جانے والی بستی کے قریب ایک اور بستی تلاش کرو وہاں بھی اپنے گورنروں کو
505,کرو وہاں بھی یہی لائن آف ایکشن ہونا چاہئے میں نے صبح ہونے سے پہلے ان دونوں بچیوں پر قبضہ کر لوں گا صبح ہوتے ہی تو مردانہ والی بستی کو چاروں طرف سے گرنے کی
506,کام نہایت آسان ہو جائے گا میں ایک گھنٹے بعد آپ کے حکم کے مطابق کارروائی کروں گا ویسے آپ جیسی میں کہاں ہیں میں جزیرے سے نکل چکا ہوں
507,ایسے لوگوں نے مجھے اور اعلی بیوی کو قید کر رکھا ہے یہ کیا کریں جناب جو کہہ رہا ہوں اسے غور سے سنو میں اسے بچیوں کے متعلق مختصر طور پر بتانا
508,اس بات سے اندازہ لگایا کہ اس کے دماغ میں نہ پہنچنے کی وجہ سے اس کے آگے بے بس ہوں اور علی بیوی کے ساتھ یہ عقیدت کیا گیا ہوں ویسے وہ ہمیں معزز مہمانوں
509,کتاب لکھی ہوئی ہے ہر طرح کی آزادی ہے وہ سمجھتا ہے میری کہانی کی صلاحیت نہیں رہی ہیں اس لئے ہے کہ نہیں ہے
510,کم نہیں ہے اچھا خاصا تجربہ رکھتے ہیں میں آپ کو یقین دلاتا ہوں کہ صبح ہونے تک وہ جس کی دید و پستی پر قابض ہو جائیں گے کی بستی کا موسم
511,کر لے گئے اسے آپ کے تعاون سے بے بس کردیا جائے گا پلیز آپ مجھے اجازت دیں کہ میں آپ کی طرف کرو بند کرو
512,فوجی اڈے پر پرواز کر رہے تھے ان کی رپورٹ کے مطابق جناب بالکل ویران پڑا تھا تاریکی میں سفر کرتے نظر آئے تھے اور وہ تین دن جو
513,سے آزاد ہو گئے تھے برباد کرنے والے نے حکم دیا واپس آ جاؤ وہاں رات کو ہیلی کاپٹر اور نا مناسب نہیں ہے صبح ہوتے ہیں
514,مینار ترکی کے دماغی امراض کے ماہرین بین الاقوامی شہرت رکھنے والے ڈاکٹر یہاں پہنچ گئے ہیں انہوں نے آپ سے درخواست کی ہے کہ اپنا معائنہ کرانے کے لئے میرے ساتھ
515,لے چلیں سجاد نے سوالیہ نظروں سے علیحدگی کو دیکھا میں نے کہا اسے جانے دو تم بھی سچا ہو جب علی بیویوں کے ساتھ چلنے کو
516,تمہارے نہیں سکتی اگر کمرے کے باہر انتظار کرنا چاہتی ہیں تو آپ کی مرضی ہے چلیں پھر وہ سجاد کے ساتھ اور اس کے پیچھے چلتے ہوئے بولی
517,کسی طرح بلیک سوٹ پہنا ہو گا میں اپنی برداشت کی آخری حد تک اپنے طور پر استعمال نہیں کرتی
518,وہ آکر اپنے طور پر رحم کرے گا تم اور سچا دوست سے لاتعلق رہنا وہ مجھے بتانے لگی جب اسے اور سجاد کو بچوں کے سامنے اس کی بیوی
519,میں لایا گیا تو اس نے آس پاس کیا دیکھا تھا وہ مجھ سے باتیں کرتے ہوئے کو چیک دور افتادہ کمرے میں پہنچی تو وہاں اسے روک دیا گیا صرف سجاد کو
520,پر رکھی گئی دودھ کی پلیٹ اور کوڑا وہ چیزیں تھی جنہوں نے میرے شہر کو یقین میں بدل دیا جو آواز میں سنی تھی وہ جلدی میں تجوری بند کریں
521,بزم ہیں اگر جزیرے سے باہر نکلیں گے تو مجھے مطلع کیوں نہیں کیا جب کہ مجھے انتظار کرنے کے لیے کہا تھا بلیک شیپ کے چنگل میں پھنسنے کے بعد اتنا
522,تیرے ہیں کیا ہم ایسے حالات میں فرق پر بھروسا کر سکتے ہیں مجھے اپنے بڑوں سے رابطہ قائم کرکے انہیں صورتحال سے آگاہ کرنا چاہیے میں نے کہا
523,میں جمعہ کی زبان سنتا ہوں اور سمجھتا ہوں بہرحال میں بھی تمھارے بڑوں سے رابطہ قائم کرنے والا ہوں ذرا یہاں سے فرصت مل جائے تو ان سے بات کروں گا
524,ویسے تم نوٹ کر لو میں اس کوٹھی کی نشاندہی کر رہا ہوں جو مجھے اور اعلان بھی کر رکھا گیا ہے اس وقت مجھے چند ڈاکٹر نے گھیرا ہوا ہے
525,نے کی تھی جب سب باتیں واضح ہوگئی تو میں نے وہ قدم اٹھائیں جو تمہارے سامنے ہوئے میں نے جب دیکھا کہ سانپ کی آواز آرہی ہے تو ماں سے چلائی اور چھڑی سے
526,پھر مجھے اس بات کا اندیشہ یہ خطرہ ہوگا پنجابی فلم ٹرو اسٹوری کا پتا بتا دیا اور وہاں کی نشاندہی کی مسجد کے پاس پہنچ کر دیکھنے لگا
527,وہ چند ڈاکٹروں کے درمیان ایک بیڈ پر لیٹا ہوا تھا وہاں چار ڈاکٹر تھے وہ اپنے طور پر سوالات بھی کر رہے تھے میں نے ڈاکٹروں کے
528,ایک اہم سوال کا صحیح جواب دیں کیا ہے آپ چند دن پہلے فراز صاحب کے ساتھ تنظیم والے ملک سے ایک ہیلی کاپٹر میں سوار ہوکر نے
529,پھر آپ جیسی رائس کیسے پہنچ گئی حالات میں پہنچا دیا ہے یہ تو جواب نہیں ہوا اس سے کئی سوالات پیدا ہوتے ہیں
530,کیا آپ الیکشن سے دوستی کی نعتیں انہیں مطمئن نہیں کریں گی اور بیوی نے وہی جواب دیا جو ہم نے تنظیم والوں کو دیا تھا یعنی وہ ہیلی کاپٹر
531,تقریب میں اترا تھا دو محافظوں ان کے ساتھ تھے ان کو دیکھ کر ان کی نیت خراب ہوگئی تھی وہ آپس میں لڑ پڑے تھے اور لڑائی کے نتیجے میں انہوں نے
532,تم سے ہو گیا اس کے متعلق کہا نہیں جا سکتا تھا کہ وہ کہاں چلا گیا اگر وہ اپنے ملک واپس نہیں گیا ہے تو اسے کسی نے یقینا تباہ کردیا ہوگا
533,میں آپ کا جواب لیکچر تک پہنچا دوں گا اور ابھی بھی نہیں سوچ کے ذریعہ پوچھا فرحت کیا تم اس شخص کے ذریعے بلیک شیپ پر نہیں پہنچ سکتے
534,نہ کر رہے ہیں اس سلسلے میں سجاد سے مختلف سوالات کر رہے ہیں میں ان کی طرف سے مطمئن ہوں اور ابھی بھی اور سجاد کے سلسلے میں زیادہ تشویش نہیں تھی
535,یو بھیجنی فاؤنڈر وہاں پہنچنے والا تھا جزیرے میں جو کچھ ہو رہا تھا وہ جرمنی فاؤنڈر اس کے ماتحتوں کی ذمہ داریاں تھیں اس لیے میں سونیا کے پاس پہنچ گئی
536,بی اے کی روشنی زیادہ دور تک نہیں جا رہی تھی اتنا پتا چل گیا تھا کہ وہ کوئی پرانا منظر یا بند کرتا ہے وہ چاروں طرف دیکھ رہی تھی ذرا فاصلے پر
537,ارے کیسے مردانہ عباس جعفری نے کہا ہے اس نے چونک کر آواز کی سمت دیکھا کچھ نظر نہ آیا پھر وہ آواز دوبارہ بھری
538,تھا کہ میں نے رسول کو نہیں جانتی ہو بلکہ مجھے ٹیلی پیتھی کے ذریعے کیا گیا ہے اور علی تیمور نے مجھے اداکار بنایا تھا اور رستے کی جمی اور کے
539,سمجھایا تھا میں نے وہاں کیا کیا اور تمام دن کیا کرتی رہی مجھے خود اس کا علم نہیں ہے اپنے دماغ کو آزاد چھوڑا تب مجھے پتہ چلا
540,قدرتی موت مجھ سے ہمدردی ہے اس نے مجھے ایک بار بنایا ہے تو وہ یہاں بھی آکر میری باتوں کی تصدیق کرے گا سنی سر اٹھا کر مجھے آواز دے لگی کبھی
541,کردیتی تھیں کبھی ادھر تاریخی میں پکارتی تھی مسٹر فرہاد علی تیمور تم کہاں ہو پلیز میرے پاس آؤ تم نے
542,تحریر اور پیشکش سید عرفان علی
543,فرہاد علی تیمور میں آپ سے معافی چاہتا ہوں پلیز میں نے سنیل سے کہا میں نے اسے سزا دی ہے بتا رہی ہے کہ
544,اس کے علاوہ مندر کے تہہ خانے کی تاریکی میں چار آدمی اور چھپے ہوئے ہیں انہوں نے اپنی زبان بند رکھی ہیں میں نے کہا سر
545,کے دماغ کو پڑھ کر دیتی ہوں شاید اس کے ساتھ سرگوشی میں سے بات کریں میں ان کے دماغوں میں بھی پہنچ جاؤں گی وہ چلی گئی لیکن اسے دیر ہو گئی
546,فاتحہ خوانی میں پہنچنے سے پہلے ہی خطرات سنائی تھی وہ لڑکھڑاتا وہ تاریکی میں کرنے لگا اور کہنے لگا کہ نون لیگ کے پاس آ کر کہا
547,اس نے پتھر قبض کی گولی کوٹ آیا وہ ایک گل سے لپٹی ہوئی تھی اس نے کنگ کوٹھی میں پایا کر بچے کو کال کرا دیئے کہ غریب
548,وہ کر پڑھنے لگیں اس میں لکھا تھا خبردار اس تحریر کو پڑھتے ہیں فورا سے دور ہٹ جاؤ ایک لمحہ کی بھیگی ہوئی گولی مار دیں گے
549,کی میں تم لوگوں کو تلاش کرو گی دیکھ لو میں نے تمہاری ہدایت کے مطابق عمل کیا ہے مہدی کے قریب نہیں جاؤں گی یہ کہہ کر اس نے پھر اس کاغذ کو پڑھنا شروع کیا
550,آگے لکھا تھا ہم تمہارے دشمن نہیں ہیں ہمیں یقین ہو گیا کہ اس نے ٹیلی پیتھی کے ذریعے ٹریفک کیا تھا
551,ابے یہی بات تو میں زبان سے بتاؤں گی سونی تحریر پڑھنے کے بعد تاریکی میں ذرا توڑ کر دیکھا اسی وقت کھٹک کی آواز سنائی تھی
552,پنجابی فائرنگ کر رہا تھا اس کے دور میں سائنس لگا ہوا تھا کبھی پانی کی آواز نہیں آرہی تھی جہاں گولی دیوار سے لگی تھی وہاں سے پاس ہوتی تھی
553,قوم آڈیو پروڈکشن نارتھ
554,پر اس پتھر کو توڑ رہی تھی پھر اس نے بیٹھے ہوئے پتھر کو بھی ایک طرف دے مارا جانا صحیح بیٹھ گیا دیا بجھ گیا وہ تاریکی چھا گئی
555,ایسا اکثر ہوتا ہے دشمن سوچ بھی نہیں سکتے کہ سونیا کی بروقت جہالت کیا گل کھلانے والی ہے اور پھر گل کھلی جاتا ہے
556,گہرے سناٹے میں ٹک ٹک کی آواز اُبھری یا اللہ کے ولی تمام ہوئے تھے تھی اور وہ اندھا دھند فائرنگ کی تھی
557,جہاں بھی ہوتی کسی نہ کسی گولی کی زد میں آجاتی لیکن وہاں کہاں تھی دیے جلتے رہنے کے دوران دو بار فائرنگ ہوئی تھی دوبارہ دنیا میں
558,کر رہا ہوں اور ایسی ہی بات تھی وہ حرکت کرنے والا اندھیرے میں اس سے ٹکرا کر گر پڑا تھا وہ ایسا نہ کرے اور دوبارہ ٹوٹ جائے
559,یہی ممکن نہیں تھا وہ بے چارہ اٹھ نہ سکا سنی نے گردن دبوچ لی تھی وہ اس جدوجہد کر رہا تھا دوسرا اس روڈ
560,اس کی مدد کو نہیں آرہے تھے صاف ظاہر تھا کہ وہ ٹیلی پیتھی سے خوفزدہ تھے انہوں نے آپ کو اس طرح سے اترتے ہوئے دیکھا تھا اور اس کی زبان سے یہ طرف سنا تھا
561,افراد علی تیمور کی ٹیلی پیتھی اسے اذیت میں مبتلا کر رہی ہے آپ شادی کے قریب جاتے ہیں وہ بھی ٹیلی پیتھی کا شکار ہو جائیں گے
562,تم کیا کرو گی اور پھر اس کے ہاتھ میں آگیا اور اس نے کہا یہاں سے نکلنے کا راستہ تلاش کرو گی کیسے تلاش کروں گی
563,کر نہیں سکتی جیسا تو نظر ہوگئی گولیاں چلا دیں گے دیکھتی جاؤ میں کرتی کیا ہو اور پاؤں پھیلا کر بیٹھ گئی پھر اس نے بلند آواز سے کہا
564,دیوتا ایپیسوٹ فور ہنڈریڈ
565,یہیں کہیں تھا وہ لیٹے لیٹے چکر کھا کر مٹی اور خصوصی صفائی کر دیا ہے کچھ نہیں ہوتا اس نے
566,تیسری بار کسی کی چیخ سنائی دی تھی وہ ورلڈ پر روتی ہوئی پھر اس شخص کے پاس پہنچ گئی جس کے ہاتھوں بے ہوش ہو گیا تھا یا شاید مر چکا تھا
567,یا خود مر جاؤں یہ کہتے ہیں وہ پھر لیٹ گئی انتظار کرنے لگی نہیں ہوئی کی زبان کیسے آواز بھی سنائی نہیں تھی البتہ اگر کسی کے
568,کرانے کی آواز سنائی دے رہی تھی میں نے کہا ابھی تم نے جس پر گولی چلائی ہے گولی اس کی گردن میں لگی ہے وہ تکلیف سے تڑپ رہا ہے سن رہا ہے
569,تیرا ہے اس کی باتوں سے پتہ چل رہا ہے کہ وہ دونوں آپس میں گہرے دوست ہیں وہ اپنی جان ہتھیلی پر رکھ کر اپنے دوست کو وہاں سے نکل جانے آیا ہے مجھے ڈھونڈ میں
570,کیا کرو تم اس کی سوچ میں یہ کہوں کہ وہ تنہا اپنے زخمی ساتھی کو وہاں سے گھسیٹ کر یا اٹھا کر نہیں لے جا سکے گا اسے اپنے دوسرے ساتھیوں کی مدد کی ضرورت ہو گی
571,کسی میں باتیں کرتے سنا ہوگا آپ کو اپنی گرفت میں لے سکتی ہوں پھر تو مسئلہ حل ہو چکا تھا اس کے مشورے کے
572,مطابق پہلے ایک دماغ میں پہنچ کر اسے تالا لگایا وہ ہنستے ہوئے کہنے لگا مگر انہوں نے سب کو رلا دیا
573,یہ لگاؤ کہ اس طرح دعا کروں گا کہ میں ہی فرہاد علی تیمور ہوں اور میں سب سے پہلے اپنا ہتھیار پھینک رہا ہوں
574,اور کسی جگہ پر رکھنے پر مجبور کیا جہاں سونیا دل میں ملی ہوئی تھی اس کے بعد باقی دونوں نے بھی اسی جان باری باری رو رکھتی ہے سونیا نے کہا
575,دنیا کے دونوں ہاتھوں میں ولولے تھے بول کے سامنے تن کر کھڑی تھی باقی دو روز اس نے اپنی کمر سے بندھی ہوئی بیٹی میں اس لیا تھا اس نے کہا
576,کیا تمہاری تنظیم کے کسی کو سنیں ہم اس زمین میں یہ نہیں سمجھ آیا کہ فرہاد علی تیمور کا نام سن کر ہتھیار ڈال دینا ہی بہتر ہوتا ہے تم لوگوں نے
577,وہ منظر ایک ویرانی میں تھا آس پاس کوئی آبادی نہیں تھی سامنے کھڑی تھی اس بندے نے کہا ان میں سے ایک آدمی کی سوچ بتا رہی ہے اس کے پاس
578,اس میں جو ہے وہ اپنے باپ سے رابطہ قائم کر سکتا ہے تم یہاں سے جاؤ گی تو وہ ٹرانسمیٹر کے ذریعے اپنے آدمیوں کو تمہارے پیچھے لگا دیں گے سونے مخ
579,باہر نکلو گے تو سر کچل دیا جائے کہاں
580,ڈرائیونگ سیٹ کا دروازہ کھولتے ہوئے اندر بیٹھ گئی اس نے کہا ٹرانسمیٹر کے ذریعے اپنے زخمی ساتھی کی مدد کے لیے
